sample_title	cell_type
819b_A10	Telogen bulge stem cells
819b_A11	Telogen bulge stem cells
819b_A1	Telogen bulge stem cells
819b_A2	Telogen bulge stem cells
819b_A3	Telogen bulge stem cells
819b_A4	Telogen bulge stem cells
819b_A5	Telogen bulge stem cells
819b_A6	Telogen bulge stem cells
819b_A7	Telogen bulge stem cells
819b_A8	Telogen bulge stem cells
819b_B10	Telogen bulge stem cells
819b_B11	Telogen bulge stem cells
819b_B12	Telogen bulge stem cells
819b_B1	Telogen bulge stem cells
819b_B2	Telogen bulge stem cells
819b_B3	Telogen bulge stem cells
819b_B4	Telogen bulge stem cells
819b_B5	Telogen bulge stem cells
819b_B6	Telogen bulge stem cells
819b_B7	Telogen bulge stem cells
819b_B8	Telogen bulge stem cells
819b_B9	Telogen bulge stem cells
819b_C10	Telogen bulge stem cells
819b_C11	Telogen bulge stem cells
819b_C1	Telogen bulge stem cells
819b_C2	Telogen bulge stem cells
819b_C3	Telogen bulge stem cells
819b_C4	Telogen bulge stem cells
819b_C6	Telogen bulge stem cells
819b_C7	Telogen bulge stem cells
819b_C8	Telogen bulge stem cells
819b_C9	Telogen bulge stem cells
819b_D1	Telogen bulge stem cells
819b_D2	Telogen bulge stem cells
819b_D4	Telogen bulge stem cells
819b_D5	Telogen bulge stem cells
819b_D6	Telogen bulge stem cells
819b_D8	Telogen bulge stem cells
819b_D9	Telogen bulge stem cells
819hg_A10	Telogen hair germ cells
819hg_A11	Telogen hair germ cells
819hg_A12	Telogen hair germ cells
819hg_A2	Telogen hair germ cells
819hg_A3	Telogen hair germ cells
819hg_A4	Telogen hair germ cells
819hg_A6	Telogen hair germ cells
819hg_A7	Telogen hair germ cells
819hg_A8	Telogen hair germ cells
819hg_A9	Telogen hair germ cells
819hg_B10	Telogen hair germ cells
819hg_B11	Telogen hair germ cells
819hg_B1	Telogen hair germ cells
819hg_B3	Telogen hair germ cells
819hg_B4	Telogen hair germ cells
819hg_B5	Telogen hair germ cells
819hg_B6	Telogen hair germ cells
819hg_B7	Telogen hair germ cells
819hg_B8	Telogen hair germ cells
819hg_B9	Telogen hair germ cells
819hg_C10	Telogen hair germ cells
819hg_C11	Telogen hair germ cells
819hg_C1	Telogen hair germ cells
819hg_C2	Telogen hair germ cells
819hg_C3	Telogen hair germ cells
819hg_C5	Telogen hair germ cells
819hg_C6	Telogen hair germ cells
819hg_C7	Telogen hair germ cells
819hg_D10	Telogen hair germ cells
819hg_D11	Telogen hair germ cells
819hg_D12	Telogen hair germ cells
819hg_D1	Telogen hair germ cells
819hg_D2	Telogen hair germ cells
819hg_D4	Telogen hair germ cells
819hg_D5	Telogen hair germ cells
819hg_D7	Telogen hair germ cells
819hg_D8	Telogen hair germ cells
819hg_D9	Telogen hair germ cells
819hg_E10	Telogen hair germ cells
819hg_E11	Telogen hair germ cells
819hg_E12	Telogen hair germ cells
819hg_E1	Telogen hair germ cells
819hg_E2	Telogen hair germ cells
819hg_E3	Telogen hair germ cells
819hg_E4	Telogen hair germ cells
819hg_E6	Telogen hair germ cells
819hg_E7	Telogen hair germ cells
819hg_F11	Telogen hair germ cells
819hg_F12	Telogen hair germ cells
819hg_F1	Telogen hair germ cells
819hg_F2	Telogen hair germ cells
819hg_F3	Telogen hair germ cells
819hg_F4	Telogen hair germ cells
819hg_F5	Telogen hair germ cells
819hg_F6	Telogen hair germ cells
819hg_F8	Telogen hair germ cells
819hg_G10	Telogen hair germ cells
819hg_G12	Telogen hair germ cells
819hg_G3	Telogen hair germ cells
819hg_G4	Telogen hair germ cells
819hg_G6	Telogen hair germ cells
819hg_G8	Telogen hair germ cells
819hg_G9	Telogen hair germ cells
819hg_H10	Telogen hair germ cells
819hg_H1	Telogen hair germ cells
819hg_H2	Telogen hair germ cells
819hg_H3	Telogen hair germ cells
819hg_H4	Telogen hair germ cells
819hg_H5	Telogen hair germ cells
819hg_H6	Telogen hair germ cells
819hg_H9	Telogen hair germ cells
902hg_A10	Ana1 hair germ cells
902hg_A11	Ana1 hair germ cells
902hg_A1	Ana1 hair germ cells
902hg_A2	Ana1 hair germ cells
902hg_A4	Ana1 hair germ cells
902hg_A5	Ana1 hair germ cells
902hg_A6	Ana1 hair germ cells
902hg_A8	Ana1 hair germ cells
902hg_A9	Ana1 hair germ cells
902hg_B10	Ana1 hair germ cells
902hg_B11	Ana1 hair germ cells
902hg_B12	Ana1 hair germ cells
902hg_B2	Ana1 hair germ cells
902hg_B4	Ana1 hair germ cells
902hg_B5	Ana1 hair germ cells
902hg_B7	Ana1 hair germ cells
902hg_B9	Ana1 hair germ cells
902hg_C10	Ana1 hair germ cells
902hg_C11	Ana1 hair germ cells
902hg_C12	Ana1 hair germ cells
902hg_C1	Ana1 hair germ cells
902hg_C3	Ana1 hair germ cells
902hg_C4	Ana1 hair germ cells
902hg_C5	Ana1 hair germ cells
902hg_C6	Ana1 hair germ cells
902hg_C7	Ana1 hair germ cells
902hg_C8	Ana1 hair germ cells
902hg_D10	Ana1 hair germ cells
902hg_D12	Ana1 hair germ cells
902hg_D1	Ana1 hair germ cells
902hg_D2	Ana1 hair germ cells
902hg_D3	Ana1 hair germ cells
902hg_D4	Ana1 hair germ cells
902hg_D5	Ana1 hair germ cells
902hg_D6	Ana1 hair germ cells
902hg_D7	Ana1 hair germ cells
902hg_D8	Ana1 hair germ cells
902hg_D9	Ana1 hair germ cells
902hg_E10	Ana1 hair germ cells
902hg_E12	Ana1 hair germ cells
902hg_E3	Ana1 hair germ cells
902hg_E4	Ana1 hair germ cells
902hg_E5	Ana1 hair germ cells
902hg_E6	Ana1 hair germ cells
902hg_E7	Ana1 hair germ cells
902hg_E8	Ana1 hair germ cells
902hg_F10	Ana1 hair germ cells
902hg_F11	Ana1 hair germ cells
902hg_F12	Ana1 hair germ cells
902hg_F1	Ana1 hair germ cells
902hg_F2	Ana1 hair germ cells
902hg_F3	Ana1 hair germ cells
902hg_F4	Ana1 hair germ cells
902hg_F7	Ana1 hair germ cells
902hg_F8	Ana1 hair germ cells
902hg_G10	Ana1 hair germ cells
902hg_G11	Ana1 hair germ cells
902hg_G12	Ana1 hair germ cells
902hg_G2	Ana1 hair germ cells
902hg_G3	Ana1 hair germ cells
902hg_G4	Ana1 hair germ cells
902hg_G5	Ana1 hair germ cells
902hg_G9	Ana1 hair germ cells
902hg_H10	Ana1 hair germ cells
902hg_H12	Ana1 hair germ cells
902hg_H1	Ana1 hair germ cells
902hg_H2	Ana1 hair germ cells
902hg_H3	Ana1 hair germ cells
902hg_H4	Ana1 hair germ cells
902hg_H5	Ana1 hair germ cells
902hg_H6	Ana1 hair germ cells
902hg_H7	Ana1 hair germ cells
902hg_H8	Ana1 hair germ cells
913hg_A9	Ana1 hair germ cells
913hg_B10	Ana1 hair germ cells
913hg_B11	Ana1 hair germ cells
913hg_B3	Ana1 hair germ cells
913hg_B7	Ana1 hair germ cells
913hg_C12	Ana1 hair germ cells
913hg_C4	Ana1 hair germ cells
913hg_D2	Ana1 hair germ cells
913hg_D4	Ana1 hair germ cells
913hg_D6	Ana1 hair germ cells
913hg_E5	Ana1 hair germ cells
913hg_E7	Ana1 hair germ cells
913hg_H2	Ana1 hair germ cells
913hg_H4	Ana1 hair germ cells
914hg_A7	Ana1 hair germ cells
914hg_A9	Ana1 hair germ cells
914mat_C10	Ana2 matrix cells (TACs)
914mat_C11	Ana2 matrix cells (TACs)
914mat_C2	Ana2 matrix cells (TACs)
914mat_C3	Ana2 matrix cells (TACs)
914mat_C5	Ana2 matrix cells (TACs)
914mat_C6	Ana2 matrix cells (TACs)
914mat_C7	Ana2 matrix cells (TACs)
914mat_C8	Ana2 matrix cells (TACs)
914mat_C9	Ana2 matrix cells (TACs)
914mat_D11	Ana2 matrix cells (TACs)
914mat_D2	Ana2 matrix cells (TACs)
914mat_D5	Ana2 matrix cells (TACs)
914mat_D6	Ana2 matrix cells (TACs)
914mat_D7	Ana2 matrix cells (TACs)
914mat_D8	Ana2 matrix cells (TACs)
914mat_D9	Ana2 matrix cells (TACs)
914mat_E10	Ana2 matrix cells (TACs)
914mat_E11	Ana2 matrix cells (TACs)
